adjusted_date,mean_pos_sentiment,mean_neg_sentiment,mean_neutral_sentiment,mean_pos_preamble_sentiment,mean_neg_preamble_sentiment,mean_neutral_preamble_sentiment,News
2021-02-12,0.10681582,0.07740995,0.8157742,0.12505984,0.112885155,0.762055,Tesla
2024-02-12,0.2367309616666667,0.2301280806666666,0.5331409266666666,0.2281747976666666,0.327248484,0.4445767166666667,Tesla
2020-03-12,0.0141560985,0.9314002,0.054443765,0.015184135,0.9264234,0.058392413,Tesla
2021-04-12,0.6109349,0.109823816,0.27924126,0.6173342,0.10710431,0.2755615,Tesla
2022-04-12,0.016493347,0.8737385,0.10976808,0.04077808,0.15011278,0.80910915,Tesla
2024-04-12,0.013856146,0.9050123,0.081131525,0.015564979,0.8916966,0.09273849,Tesla
2020-05-12,0.28256537175,0.471574387,0.2458602564999999,0.1859621525,0.481090176,0.3329477185,Tesla
2021-05-12,0.019353863,0.836707355,0.1439388035,0.01866685,0.848709315,0.13262377,Tesla
2022-05-12,0.8638722,0.0221457414999999,0.113982083,0.744005825,0.037236875,0.2187572965,Tesla
2023-05-12,0.0616690993333333,0.2248376446666666,0.7134932900000001,0.057955081,0.2105380713333333,0.7315068733333333,Tesla
2024-05-12,0.54996,0.012103251,0.43793675,0.5969172,0.013631175,0.38945156,Tesla
2020-06-12,0.017062774,0.92488295,0.05805421,0.015514313,0.9192278,0.06525796,Tesla
2024-06-12,0.0626581066666666,0.5742782599999999,0.3630636383333334,0.080802722,0.5251976733333333,0.3939995733333333,Tesla
2022-07-12,0.0862211975,0.29648003525,0.61729872,0.097745099,0.3569536239999999,0.5453012150000001,Tesla
2023-07-12,0.112297036,0.7829945,0.104708366,0.08675177,0.7605229,0.15272526,Tesla
2020-08-12,0.90340793,0.019194635,0.07739747,0.32617733,0.014683595,0.6591391,Tesla
2021-08-12,0.047482256,0.44798294,0.50453484,0.029290032,0.39755103,0.5731589,Tesla
2022-08-12,0.3262354096666666,0.378948923,0.294815635,0.2760771386666666,0.3625406663333333,0.3613821873333333,Tesla
2022-09-12,0.02336368,0.78146625,0.19517007,0.02624352,0.68485296,0.28890345,Tesla
2024-09-12,0.76636916,0.009902805,0.22372809,0.6217022,0.013486807,0.364811,Tesla
2021-01-13,0.01239289925,0.93481003,0.0527969975,0.0115573435,0.91829135,0.0701513475,Tesla
2023-01-13,0.024836637,0.9436198,0.031543657,0.016400235,0.9564243,0.027175479,Tesla
2021-10-13,0.025622683,0.8697728,0.10460461,0.02366225,0.849114,0.12722374,Tesla
2022-10-13,0.033901475,0.938458,0.027640428,0.032918185,0.94029903,0.02678276,Tesla
2019-11-13,0.431994857,0.0403687835,0.5276363550000001,0.343094356,0.033122978,0.62378267,Tesla
2022-11-13,0.07571318,0.04251436,0.88177246,0.04338975,0.029121563,0.9274886,Tesla
2023-11-13,0.5690018,0.01589512,0.41510302,0.534098,0.0161633,0.44973862,Tesla
2022-12-13,0.20712712,0.7483486,0.044524286,0.68027973,0.2617294,0.057990856,Tesla
2023-12-13,0.088523929,0.486021891,0.42545421675,0.06254224475,0.4872916475,0.4501660992499999,Tesla
2020-02-13,0.048481744,0.08681373,0.86470455,0.040917356,0.071827,0.8872556,Tesla
2021-02-13,0.077768266,0.01228707,0.90994465,0.045641802,0.014744929,0.9396133,Tesla
2021-04-13,0.0620385685,0.2100103085,0.727951075,0.0496069025,0.081420545,0.8689725500000001,Tesla
