Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,headline,article_time,subheaders
2024-04-01 00:00:00-04:00,522.1455084552367,522.6937276225904,519.2946592750098,520.4808349609375,62477500,0.0,0.0,0.0,Stocks Fall on Fears Rate Cuts Will Be Delayed: Markets Wrap,"April 2, 2024 at 5:58 AM GMT+8","['Solid economic signs fuel doubts about pace of policy easing', 'Treasury 10-year yields hit the highest levels in 2024']"
2024-04-02 00:00:00-04:00,516.5734627676684,517.3110733824194,514.8191127439995,517.1715698242188,74230300,0.0,0.0,0.0,Bonds Get Some Relief From Powell’s Deja-Vu Tone: Markets Wrap,"April 3, 2024 at 6:35 AM GMT+8","['Powell says Fed has time to assess data before deciding to cut', 'Stocks struggle to gain much traction as Intel and Disney sink']"
2024-04-03 00:00:00-04:00,516.0551172277823,519.2747717539253,516.0052901826223,517.7396850585938,59155800,0.0,0.0,0.0,S&P 500 Falls 1% as Oil Jump Spurs Flight to Bonds: Markets Wrap,"April 4, 2024 at 6:08 AM GMT+8","['Brent crude hits $90 a barrel as Middle East tensions escalate', 'Fed’s Kashkari floats possibility of no rate cuts this year']"
2024-04-04 00:00:00-04:00,521.8365126123222,522.1853627659965,511.111104294994,511.42010498046875,96858100,0.0,0.0,0.0,Stock Bull Run Powers Ahead After Blockbuster Jobs: Markets Wrap,"April 5, 2024 at 6:09 AM GMT+8","['US payrolls increased in March by the most in nearly a year', 'Bond yields climb on speculation Fed will be in no rush to cut']"
2024-04-05 00:00:00-04:00,512.8056739414428,518.7664245993375,512.3571088377373,516.7628784179688,74482100,0.0,0.0,0.0,,,
2024-04-08 00:00:00-04:00,517.4805506343731,518.5072067417511,516.2245927866272,517.0518798828125,48401800,0.0,0.0,0.0,S&P 500 Stages Late-Day Rebound With CPI in Focus: Markets Wrap,"April 9, 2024 at 6:13 AM GMT+8","['Tech megacaps lead gains in equities before inflation data', 'Treasury yields fall after hitting the highest levels in 2024']"
2024-04-09 00:00:00-04:00,518.8262225747569,519.0754186470791,512.6959748600776,517.6500244140625,68124400,0.0,0.0,0.0,S&P 500 Hit by Fed-Pivot Rethink and War Jitters: Markets Wrap,"April 10, 2024 at 6:14 AM GMT+8","['US core CPI rises more than forecast for third straight month', 'Yields soar as traders price in just two Fed rate cuts in 2024']"
2024-04-10 00:00:00-04:00,511.828779291004,514.5001538955246,510.4432953613143,512.4667358398438,82652800,0.0,0.0,0.0,‘Mag Seven’ Power Stocks in Run-Up to US Earnings: Markets Wrap,"April 11, 2024 at 6:45 AM GMT+8","['Producer prices climb, but show some relief in key categories', 'ECB holds interest rates and firms path to first cut in June']"
2024-04-11 00:00:00-04:00,514.0216818131133,517.8094497000849,510.43328293890454,516.334228515625,70099000,0.0,0.0,0.0,Stocks Get Hit as War Jitters Fuel Rush to Bonds: Markets Wrap,"April 12, 2024 at 6:29 AM GMT+8","['Oil rises as Israel prepares for a possible Iranian attack', 'Wall Street parses bank results as earnings season kicks off']"
2024-04-12 00:00:00-04:00,512.7159145142723,514.1612638578232,507.4429172659005,509.2072448730469,92469100,0.0,0.0,0.0,,,
2024-04-15 00:00:00-04:00,513.4734993236136,513.6429356190649,501.9606224518471,502.8278503417969,92101400,0.0,0.0,0.0,US Yields Spike as Hawkish Powell Puts 5% in Play: Markets Wrap,"April 16, 2024 at 6:18 AM GMT+8","['Fed chief signals rate-cut delay after inflation surprises', 'Dollar notches best run since October 2022; S&P 500 retreats']"
2024-04-16 00:00:00-04:00,503.31626663179304,504.87124770548456,500.5950345431116,501.9107971191406,73484000,0.0,0.0,0.0,S&P 500 Suffers Its Longest Slide Since January: Markets Wrap,"April 17, 2024 at 6:31 AM GMT+8","['Equities extend losses from their all-time highs as tech sinks', 'Treasuries climb amid dip buying, solid sale of 20-year bonds']"
2024-04-17 00:00:00-04:00,504.42268229635664,504.5921490117264,497.51497440556665,498.94036865234375,75910300,0.0,0.0,0.0,Treasuries Hit as Hawkish Fed Views Keep Piling Up: Markets Wrap,"April 18, 2024 at 6:14 AM GMT+8","['Jobless claims hold steady in sign of resilient labor market', 'Fed’s Williams says hike not baseline, but possible if needed']"
2024-04-18 00:00:00-04:00,500.36577696868045,502.5088570574245,496.95676139324104,497.9136657714844,74548100,0.0,0.0,0.0,‘Mag Seven’ Get Crushed Before Next Week’s Results: Markets Wrap,"April 19, 2024 at 6:18 AM GMT+8","['S&P 500 breaks below 5,000 as stocks extend rout from record', 'Nvidia shares tumble 10%, leading broader technology selloff']"
2024-04-19 00:00:00-04:00,497.83392331921834,498.85063229314227,492.27185022446037,493.56768798828125,102129100,0.0,0.0,0.0,,,
2024-04-22 00:00:00-04:00,496.2291002358965,500.7644869205067,493.83682406944024,498.113037109375,67961000,0.0,0.0,0.0,Tech Giants Roar as Tesla Spikes in Late Hours: Markets Wrap,"April 23, 2024 at 6:31 AM GMT+8","['Tesla to accelerate launch of cheaper cars after sales miss', 'S&P 500 notches its best back-to-back rally in two months']"
2024-04-23 00:00:00-04:00,500.16640606968423,504.4625438079266,497.92364147883853,504.0239562988281,64633600,0.0,0.0,0.0,Tech Giants Hit in Late Hours After Meta’s Outlook: Markets Wrap,"April 24, 2024 at 6:58 AM GMT+8","['Wall Street traders gearing up for GDP report on Thursday', 'Yen weakens past key 155 level, adding to intervention risk']"
2024-04-24 00:00:00-04:00,504.93102480196853,505.73841760700446,501.51206214168633,503.78472900390625,55928100,0.0,0.0,0.0,Big Tech Surges in Late Hours on Blowout Earnings: Markets Wrap,"April 25, 2024 at 6:48 AM GMT+8","['Alphabet beats revenue estimates, announces dividend', 'Microsoft sales, profit beat expectations on AI demand']"
2024-04-25 00:00:00-04:00,497.5747728035381,502.64840117117535,495.89020492590225,501.87091064453125,69122400,0.0,0.0,0.0,‘AI Craze’ Powers Best Week in 2024 for Stocks: Markets Wrap,"April 26, 2024 at 6:53 AM GMT+8","['Microsoft, Google gain after AI fuels cloud-computing demand', 'Fed’s preferred core inflation gauge meets analyst estimates']"
2024-04-26 00:00:00-04:00,504.721718239114,508.2403654748059,504.07381455130115,506.6255798339844,64306100,0.0,0.0,0.0,,,
2024-04-29 00:00:00-04:00,508.44967159766503,509.10755284933043,505.61880799377946,508.4197692871094,46415400,0.0,0.0,0.0,Wall Street Hit by Fed Jitters to Close Wild April: Markets Wrap,"April 30, 2024 at 6:39 AM GMT+8","['Labor costs rise by most in year, signaling wage pressures', 'US consumer confidence slumps to lowest level since July 2022']"
2024-04-30 00:00:00-04:00,506.9246108674953,507.9213951472284,500.36578369140625,500.36578369140625,77483600,0.0,0.0,0.0,Treasuries Rally With Fed Not as Hawkish as Feared: Markets Wrap,"May 1, 2024 at 6:37 AM GMT+8","['Powell says it’s unlikely next Fed move will be a rate hike', 'Fed to slow pace of balance-sheet runoff starting in June']"
2024-05-01 00:00:00-04:00,499.7677144385784,506.5558130505009,498.2625604196767,498.74102783203125,80242800,0.0,0.0,0.0,,,
2024-05-02 00:00:00-04:00,502.528769823619,504.2631950909653,497.94355622376423,503.40594482421875,62550200,0.0,0.0,0.0,,,
2024-05-03 00:00:00-04:00,509.5162566822298,510.90177101459005,506.9246114679655,509.6458435058594,72756700,0.0,0.0,0.0,,,
2024-05-06 00:00:00-04:00,512.0979354776279,514.9487239818252,511.64937037366593,514.9088745117188,47264700,0.0,0.0,0.0,"Stock Rally Wavers as S&P 500 Briefly Tops 5,200: Markets Wrap","May 7, 2024 at 6:31 AM GMT+8","['JPMorgan strategists see stock pause on stretched positioning', 'Goldman says Corporate America is set to save equity rally']"
2024-05-07 00:00:00-04:00,515.8956831550241,516.9024450386478,514.789267176321,515.47705078125,52561300,0.0,0.0,0.0,S&P 500 ‘Bumps Into a Wall’ After Blistering Rally: Markets Wrap,"May 8, 2024 at 6:31 AM GMT+8","['Citi’s Montagu says fewer investors keen to join stock advance', 'Treasuries hold losses as $42 billion sale sees tepid demand']"
2024-05-08 00:00:00-04:00,513.6030691416237,516.0750746456811,513.4834598971618,515.52685546875,42047200,0.0,0.0,0.0,"S&P 500 Is Back to 5,200 as Traders Ride Momentum: Markets Wrap","May 9, 2024 at 6:21 AM GMT+8","['Treasuries rise as $25 billion sale of bonds sees good demand', 'Initial jobless claims increase to highest level since August']"
