,omega,alpha,beta,gamma,x,sample,omega_wo_exo,alpha_wo_exo,beta_wo_exo,omega_with_exo,alpha_with_exo,beta_with_exo,gamma_with_exo,without_exo_MSE,with_exo_MSE,without_exo_logll,with_exo_logll,without_exo_opt_suc,with_exo_opt_suc
63,0.1,0.1,0.2,0.1,"[[], []]",13,0.20700588308171558,0.08400752763180974,0.18553515877606905,0.13105058970918507,0.11135007951302257,0.006230403195117209,0.12316515692768053,0.019295364704406945,0.0022299856712461605,-941.3725757622788,-867.4245367766097,True,True
64,0.1,0.1,0.2,0.1,"[[], []]",14,0.13905876956194543,0.12168851240818089,0.41164449770409084,0.08642306344126763,0.14274271377853226,0.22018050469840286,0.0973586292810999,0.023223105942191142,0.0010737689619872719,-963.3762156557558,-898.3230335717258,True,True
65,0.1,0.1,0.2,0.1,"[[], []]",15,0.18423501062672057,0.16040552111646328,0.18827558693137847,0.0905360513758196,0.12248840682026253,0.2132925066829253,0.09550314840897535,0.02215943694665368,0.0006646084860845649,-928.8528207233152,-877.9053452824431,True,True
66,0.1,0.1,0.2,0.1,"[[], []]",16,0.13659844485672482,0.15365024013359493,0.4015689757129357,0.09102638384923455,0.1500252518237633,0.31648871874889895,0.07512264006038606,0.021252533312905292,0.003480016335122767,-977.1904051672462,-944.2776096824011,True,True
67,0.1,0.1,0.2,0.1,"[[], []]",17,0.26196639523558896,0.10456487164273373,0.00026807654114799036,0.10198288542218391,0.0831943390630258,0.20389162468370414,0.10352244924009209,0.026103750883158416,0.0005503086820252895,-958.5877975868473,-900.7956672996947,True,True
68,0.1,0.1,0.2,0.1,"[[], []]",18,0.21269363532600968,0.048707017011675846,0.21397830082056912,0.10028429558646826,0.07743293554103742,0.23246996486590388,0.09557239180745121,0.02465348128080347,0.0005937829150322221,-955.4134969017879,-903.405473250105,True,True
69,0.1,0.1,0.2,0.1,"[[], []]",19,0.11638825798592209,0.1582834879354284,0.4744800010120189,0.12645405154488035,0.17487340586712583,0.1863157882037725,0.07766419571178947,0.02500907518800739,0.0037608560656420707,-991.1359589468316,-967.0981323672862,True,True
70,0.1,0.1,0.2,0.1,"[[], []]",20,0.19844437025637413,0.10684977532521378,0.1833934372589168,0.1008451655808349,0.06549829106393325,0.24125663773342823,0.09342795297605286,0.017835401078341553,0.0008396848765270523,-930.3649199020488,-883.728348710712,True,True
71,0.1,0.1,0.2,0.1,"[[], []]",21,0.23763228971337166,0.10356707597688077,0.053205307888810185,0.09912186449237673,0.07462574022449113,0.20085273618086008,0.10601964090542394,0.02119038880810653,0.0006900693307271022,-936.1299972339486,-874.4170759718063,True,True
72,0.1,0.1,0.2,0.1,"[[], []]",22,0.22832163136770392,0.12659063936221734,0.031017362010866172,0.1236721956947432,0.07847848908481211,0.12368249404638836,0.08374548897945383,0.024912376448056495,0.0022415709830601377,-910.4658270310337,-858.1689022700734,True,True
73,0.1,0.1,0.2,0.1,"[[], []]",23,0.20474991021504466,0.07780921525460588,0.19807072112026358,0.11846364355172748,0.0747477100760176,0.12326259635567509,0.11264706814772187,0.020301198673283335,0.0010545523380847569,-940.5609602837512,-886.6710842796755,True,True
74,0.1,0.1,0.2,0.1,"[[], []]",24,0.19593474132313152,0.08230778957968693,0.19712115287205087,0.10996166006702443,0.07735917259448706,0.16950389604151267,0.08832478818265982,0.02149447554690742,0.0014701457666031915,-916.0450173219242,-857.2956281601759,True,True
