,omega,alpha,beta,gamma,x,sample,omega_wo_exo,alpha_wo_exo,beta_wo_exo,omega_with_exo,alpha_with_exo,beta_with_exo,gamma_with_exo,without_exo_MSE,with_exo_MSE,without_exo_logll,with_exo_logll,without_exo_opt_suc,with_exo_opt_suc
10,0,0.08,0.85,2.8,"[[0.04], []]",10,2.643759184966358,0.06831389360379986,0.8483721346569578,1.0250016199313675e-05,0.06108379564754086,0.8579905324303373,2.8741131917833065,60.08628517290633,10.266168750623637,-3759.6499734120102,-3743.8439017496153,True,True
11,0,0.08,0.85,2.8,"[[0.04], []]",11,2.857770129704859,0.0942351468476036,0.8369028614746992,0.490796168491674,0.09154351565918971,0.8248499058529764,3.041351559618075,57.692163468287895,7.824309646771592,-3907.0865763288953,-3896.3156958963796,True,True
12,0,0.08,0.85,2.8,"[[0.04], []]",12,3.6509407371422253,0.0980146906186295,0.8057464279309956,9.034257967902708e-05,0.0646496767452286,0.8439672070907753,3.317256208956405,59.2358621053281,16.187931378526343,-3855.943013295633,-3835.755708668148,True,True
13,0,0.08,0.85,2.8,"[[0.04], []]",13,2.2602785335734867,0.09782937798332027,0.8402596135937963,0.2871390124767719,0.08213489390584108,0.857592250438726,2.0083966482059417,52.68779915485403,7.89914113574095,-3820.3162708131877,-3814.5311023677036,True,True
14,0,0.08,0.85,2.8,"[[0.04], []]",14,4.52605487863475,0.12770514199382027,0.7635229784786464,1.4580484755685563,0.11301372556837762,0.7894223495755561,2.5254402105910243,81.52411840088143,21.38378395785992,-3902.599364297498,-3895.3556973201657,True,True
15,0,0.08,0.85,2.8,"[[0.04], []]",15,3.313530396425054,0.1351360568644992,0.7829675425544131,0.00026654186095671447,0.10627834842884065,0.8205355392778046,2.9202837153304175,74.7404412008215,10.332660215302898,-3866.6276752303133,-3849.4900169910793,True,True
16,0,0.08,0.85,2.8,"[[0.04], []]",16,3.864595955536688,0.14333241000661093,0.7788992729323925,0.02068835765496784,0.13331968883492487,0.7911670157573347,4.098223438486068,142.19602371058878,98.67873765287625,-3982.5751433932674,-3970.0678779379023,True,True
17,0,0.08,0.85,2.8,"[[0.04], []]",17,3.171736288967556,0.07681753545750857,0.8449027074624672,0.4159846970659356,0.05931455180349911,0.8548411653075577,2.9051491196140042,77.55122485271795,15.484656325420946,-3898.840431036876,-3883.0184172943023,True,True
18,0,0.08,0.85,2.8,"[[0.04], []]",18,2.4120775932112886,0.0855866094401047,0.8565808207898102,0.00022014290109502284,0.06689668545308447,0.8636606748427703,2.743989092836885,71.75329251029835,7.867670618453389,-3908.282291074091,-3895.3559861201693,True,True
19,0,0.08,0.85,2.8,"[[0.04], []]",19,3.2851968032065613,0.13682157731802422,0.8036107755189321,0.09133727647208822,0.13811315793094,0.8004592086413196,3.4954261175272445,239.75289399794076,202.01599237559782,-4038.683033293054,-4028.7563967145875,True,True
