adjusted_date,mean_pos_sentiment,mean_neg_sentiment,mean_neutral_sentiment,mean_pos_preamble_sentiment,mean_neg_preamble_sentiment,mean_neutral_preamble_sentiment
16/4/24,0.0652713465,0.6316221766666666,0.3031064623333333,0.03688386266666667,0.7056652333333333,0.25745093933333335
16/5/22,0.022572411,0.4081536,0.569274,0.021700501,0.3025384,0.67576104
16/5/23,0.46680133333333335,0.03689223066666667,0.49630643999999996,0.24603060333333335,0.2700898503333333,0.4838795333333333
16/5/24,0.01747175,0.90148836,0.08103988,0.022756878,0.8336921,0.143551
16/6/21,0.54817514,0.2954008095,0.1564239935,0.47430824699999996,0.23930026899999998,0.2863915025
16/6/22,0.040422942,0.032534707,0.92704237,0.02753551,0.041216217,0.93124825
16/6/23,0.3408843,0.02799995,0.63111573,0.18643148,0.029683562,0.78388494
16/7/21,0.2590599,0.0116163455,0.7293238,0.31420836,0.009614843,0.67617685
16/7/22,0.028461672,0.7634081,0.2081302,0.024487229,0.78294593,0.19256689
16/7/23,0.1419153,0.034566227,0.8235185,0.10243729,0.08204916,0.81551355
16/7/24,0.075925431,0.0738840545,0.850190535,0.06778277,0.035791735000000005,0.89642548
16/8/21,0.04194609,0.24605706,0.7119969,0.03347611,0.1809777,0.7855462
16/8/22,0.012959124,0.8228307,0.16421022,0.020046081,0.45336616,0.5265877
16/8/24,0.031450033,0.13203092,0.83651906,0.021443853,0.20303242,0.7755238
16/9/21,0.33739725,0.0124481605,0.65015459,0.209183195,0.0127457765,0.778071045
16/9/23,0.011442379666666667,0.9546946899999998,0.033862889,0.011784992333333333,0.9503914,0.03782362433333333
17/1/23,0.043086952,0.3698464925,0.587066575,0.054793553,0.26611206849999997,0.679094385
17/1/24,0.015487331,0.9175529,0.06695972,0.012354765,0.92929596,0.05834922
17/10/22,0.4939673,0.46423513,0.041797545,0.657348,0.29411295,0.048539046
17/10/23,0.0188863335,0.80397862,0.1771350515,0.0254474485,0.701249735,0.2733028065
17/11/20,0.034620214,0.020168222,0.9452116,0.05768041,0.01587106,0.9264485
17/11/21,0.014829703,0.9444564,0.040713865,0.024864325,0.8895225,0.085613236
17/11/22,0.013434359,0.82607295,0.1604926815,0.015081817,0.75838105,0.2265371985
17/11/23,0.010257065499999999,0.922005935,0.067737022,0.01095743025,0.93531415,0.0537284125
17/12/21,0.016776746,0.9444969,0.03872629,0.022667307,0.7731214,0.20421131
17/12/22,0.018373057,0.8517248150000001,0.129902105,0.022733178,0.73360465,0.24366216999999998
17/2/21,0.018686697,0.89356065,0.087752685,0.019098932,0.8973758,0.08352517
17/2/22,0.007728047,0.9736289,0.018643191,0.00807978,0.9725371,0.019383151
17/2/23,0.0625713675,0.78606531,0.151363335,0.046383671,0.70530925,0.24830705
17/2/24,0.07263473,0.06417223,0.863193,0.04369107,0.0722714,0.8840376
17/3/22,0.8937153,0.032009967,0.07427462,0.8462889,0.0644661,0.08924493
17/3/23,0.028510615,0.49233958,0.4791498,0.023549328,0.36977318,0.60667753
17/4/20,0.034410335,0.6481663,0.3174233,0.03543933,0.598448,0.36611268
